option,slab,load,solar,wind,total_re,excess,grid_import_kwh,grid_export_kwh,re_pct
FT,A (12am to 6am),2190000.0,0.0,0.0,0.0,0.0,2190000.0,0.0,0.0
FT,C (6am to 9am),1095000.0,300156.5151945935,0.0,300156.5151945935,0.0,794843.4848054065,0.0,27.411553899049636
FT,B (9am to 5pm),2920000.0,2456487.457166238,0.0,2456487.457166238,122080.4239099806,585592.9667437421,122080.4239099806,84.1262827796657
FT,D (5pm to 12am),2555000.0,39873.51962203111,0.0,39873.51962203111,0.0,2515126.480377969,0.0,1.5606074216059145
FT,Total,8760000.0,2796517.491982863,0.0,2796517.491982863,122080.4239099806,6085562.9319271175,122080.4239099806,31.92371566190483
SAT,A (12am to 6am),2190000.0,0.0,0.0,0.0,0.0,2190000.0,0.0,0.0
SAT,C (6am to 9am),1095000.0,433291.43587455334,0.0,433291.43587455334,0.0,661708.5641254467,0.0,39.56999414379482
SAT,B (9am to 5pm),2920000.0,2603282.127637766,0.0,2603282.127637766,104092.18713560278,420810.05949783704,104092.18713560278,89.1534975218413
SAT,D (5pm to 12am),2555000.0,70624.37296689863,0.0,70624.37296689863,0.0,2484375.6270331014,0.0,2.7641633255146236
SAT,Total,8760000.0,3107197.936479218,0.0,3107197.936479218,104092.18713560278,5756894.250656385,104092.18713560278,35.470296078529884
EW,A (12am to 6am),2190000.0,0.0,0.0,0.0,0.0,2190000.0,0.0,0.0
EW,C (6am to 9am),1095000.0,286127.33999999997,0.0,286127.33999999997,0.0,808872.66,0.0,26.130350684931503
EW,B (9am to 5pm),2920000.0,2240430.96,0.0,2240430.96,28232.88000000001,707801.9199999999,28232.88000000001,76.72708767123288
EW,D (5pm to 12am),2555000.0,43935.0,0.0,43935.0,0.0,2511065.0,0.0,1.719569471624266
EW,Total,8760000.0,2570493.3,0.0,2570493.3,28232.88000000001,6217739.58,28232.88000000001,29.343530821917806
